country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Bangka Belitung,Settlements & Infrastructure,2001,58
Indonesia,Bangka Belitung,Shifting cultivation,2001,173
Indonesia,Bangka Belitung,Wildfire,2001,190
Indonesia,Bangka Belitung,Hard commodities,2002,234
Indonesia,Bangka Belitung,Logging,2002,38
Indonesia,Bangka Belitung,Other natural disturbances,2002,12
Indonesia,Bangka Belitung,Permanent agriculture,2002,10507
Indonesia,Bangka Belitung,Settlements & Infrastructure,2002,72
Indonesia,Bangka Belitung,Shifting cultivation,2002,159
Indonesia,Bangka Belitung,Wildfire,2002,223
Indonesia,Bangka Belitung,Hard commodities,2003,125
Indonesia,Bangka Belitung,Logging,2003,26
Indonesia,Bangka Belitung,Other natural disturbances,2003,5
Indonesia,Bangka Belitung,Permanent agriculture,2003,6764
Indonesia,Bangka Belitung,Settlements & Infrastructure,2003,46
Indonesia,Bangka Belitung,Shifting cultivation,2003,40
Indonesia,Bangka Belitung,Wildfire,2003,116
Indonesia,Bangka Belitung,Hard commodities,2004,872
Indonesia,Bangka Belitung,Logging,2004,158
Indonesia,Bangka Belitung,Other natural disturbances,2004,32
Indonesia,Bangka Belitung,Permanent agriculture,2004,20151
Indonesia,Bangka Belitung,Settlements & Infrastructure,2004,131
Indonesia,Bangka Belitung,Shifting cultivation,2004,311
Indonesia,Bangka Belitung,Wildfire,2004,317
Indonesia,Bangka Belitung,Hard commodities,2005,977
Indonesia,Bangka Belitung,Logging,2005,35
Indonesia,Bangka Belitung,Other natural disturbances,2005,31
Indonesia,Bangka Belitung,Permanent agriculture,2005,18179
Indonesia,Bangka Belitung,Settlements & Infrastructure,2005,309
Indonesia,Bangka Belitung,Shifting cultivation,2005,90
Indonesia,Bangka Belitung,Wildfire,2005,216
Indonesia,Bangka Belitung,Hard commodities,2006,1881
Indonesia,Bangka Belitung,Logging,2006,52
Indonesia,Bangka Belitung,Other natural disturbances,2006,75
Indonesia,Bangka Belitung,Permanent agriculture,2006,17610
Indonesia,Bangka Belitung,Settlements & Infrastructure,2006,229
Indonesia,Bangka Belitung,Shifting cultivation,2006,102
Indonesia,Bangka Belitung,Wildfire,2006,288
Indonesia,Bangka Belitung,Hard commodities,2007,562
Indonesia,Bangka Belitung,Logging,2007,40
Indonesia,Bangka Belitung,Other natural disturbances,2007,24
Indonesia,Bangka Belitung,Permanent agriculture,2007,21970
Indonesia,Bangka Belitung,Settlements & Infrastructure,2007,165
Indonesia,Bangka Belitung,Shifting cultivation,2007,83
