country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Banten,2011,1381622
Indonesia,Bengkulu,2011,18175346
Indonesia,Gorontalo,2011,2010062
Indonesia,Jakarta Raya,2011,900
Indonesia,Jambi,2011,35909179
Indonesia,Jawa Barat,2011,3489625
Indonesia,Jawa Tengah,2011,2774321
Indonesia,Jawa Timur,2011,3659473
Indonesia,Kalimantan Barat,2011,216809969
Indonesia,Kalimantan Selatan,2011,30134308
Indonesia,Kalimantan Tengah,2011,101768873
Indonesia,Kalimantan Timur,2011,128428658
Indonesia,Kalimantan Utara,2011,38265654
Indonesia,Kepulauan Riau,2011,4009111
Indonesia,Lampung,2011,8805755
Indonesia,Maluku,2011,6982289
Indonesia,Maluku Utara,2011,4368336
Indonesia,Nusa Tenggara Barat,2011,1282945
Indonesia,Nusa Tenggara Timur,2011,4094393
Indonesia,Papua,2011,18498488
Indonesia,Papua Barat,2011,9945599
Indonesia,Riau,2011,315050060
Indonesia,Sulawesi Barat,2011,9430128
Indonesia,Sulawesi Selatan,2011,9018976
Indonesia,Sulawesi Tengah,2011,18784383
Indonesia,Sulawesi Tenggara,2011,14990491
Indonesia,Sulawesi Utara,2011,2254010
Indonesia,Sumatera Barat,2011,31102643
Indonesia,Sumatera Selatan,2011,111368140
Indonesia,Sumatera Utara,2011,55654495
Indonesia,Yogyakarta,2011,112310
Indonesia,Aceh,2012,32099924
Indonesia,Bali,2012,452367
Indonesia,Bangka Belitung,2012,21501243
Indonesia,Banten,2012,2157268
Indonesia,Bengkulu,2012,20791068
Indonesia,Gorontalo,2012,2876982
Indonesia,Jakarta Raya,2012,265
Indonesia,Jambi,2012,124023198
Indonesia,Jawa Barat,2012,2492398
Indonesia,Jawa Tengah,2012,1595834
Indonesia,Jawa Timur,2012,5404458
Indonesia,Kalimantan Barat,2012,253407152
Indonesia,Kalimantan Selatan,2012,48105956
Indonesia,Kalimantan Tengah,2012,163416568
Indonesia,Kalimantan Timur,2012,185870232
Indonesia,Kalimantan Utara,2012,57108557
Indonesia,Kepulauan Riau,2012,5602929
Indonesia,Lampung,2012,16423595
Indonesia,Maluku,2012,8443803
Indonesia,Maluku Utara,2012,6845759
Indonesia,Nusa Tenggara Barat,2012,1897617
Indonesia,Nusa Tenggara Timur,2012,2736808
Indonesia,Papua,2012,40424383
Indonesia,Papua Barat,2012,10679776
Indonesia,Riau,2012,367387955
Indonesia,Sulawesi Barat,2012,9489968
Indonesia,Sulawesi Selatan,2012,10589612
Indonesia,Sulawesi Tengah,2012,27845499
Indonesia,Sulawesi Tenggara,2012,15511275
Indonesia,Sulawesi Utara,2012,1855880
Indonesia,Sumatera Barat,2012,28385892
Indonesia,Sumatera Selatan,2012,289753038
Indonesia,Sumatera Utara,2012,47063375
Indonesia,Yogyakarta,2012,30817
Indonesia,Aceh,2013,24444757
Indonesia,Bali,2013,204281
Indonesia,Bangka Belitung,2013,9687151
Indonesia,Banten,2013,1105306
Indonesia,Bengkulu,2013,9499255
Indonesia,Gorontalo,2013,4887442
Indonesia,Jakarta Raya,2013,128
Indonesia,Jambi,2013,53119994
Indonesia,Jawa Barat,2013,1594832
Indonesia,Jawa Tengah,2013,713362
Indonesia,Jawa Timur,2013,1621198
Indonesia,Kalimantan Barat,2013,166629012
Indonesia,Kalimantan Selatan,2013,24351912
