country,subnational1,year,tree_cover_loss_ha,gross_emissions_Mg_CO2e
Indonesia,Sulawesi Utara,2014,6875,4867275
Indonesia,Sumatera Barat,2014,30560,19265804
Indonesia,Sumatera Selatan,2014,159551,115740447
Indonesia,Sumatera Utara,2014,85503,44352975
Indonesia,Yogyakarta,2014,58,29299
Indonesia,Aceh,2015,33969,20495661
Indonesia,Bali,2015,132,76700
Indonesia,Bangka Belitung,2015,41281,22759615
Indonesia,Banten,2015,2664,1649041
Indonesia,Bengkulu,2015,20197,14404810
Indonesia,Gorontalo,2015,13287,9465974
Indonesia,Jakarta Raya,2015,0,59
Indonesia,Jambi,2015,60611,43249343
Indonesia,Jawa Barat,2015,3502,2152615
Indonesia,Jawa Tengah,2015,1808,1131362
Indonesia,Jawa Timur,2015,2901,1743052
Indonesia,Kalimantan Barat,2015,267806,205727988
Indonesia,Kalimantan Selatan,2015,73379,53514625
Indonesia,Kalimantan Tengah,2015,213841,176386775
Indonesia,Kalimantan Timur,2015,183873,129620041
Indonesia,Kalimantan Utara,2015,47844,47974313
Indonesia,Kepulauan Riau,2015,5869,3247917
Indonesia,Lampung,2015,14133,8275125
Indonesia,Maluku,2015,48979,29744780
Indonesia,Maluku Utara,2015,45450,32259683
Indonesia,Nusa Tenggara Barat,2015,4435,2382673
Indonesia,Nusa Tenggara Timur,2015,7422,3515103
Indonesia,Papua,2015,82032,65229132
Indonesia,Papua Barat,2015,42462,36594061
Indonesia,Riau,2015,90762,67240188
Indonesia,Sulawesi Barat,2015,14055,9243434
Indonesia,Sulawesi Selatan,2015,28081,18645019
Indonesia,Sulawesi Tengah,2015,91932,57554215
Indonesia,Sulawesi Tenggara,2015,43540,28617745
Indonesia,Sulawesi Utara,2015,15597,10897491
Indonesia,Sumatera Barat,2015,22500,14461279
Indonesia,Sumatera Selatan,2015,169039,140654094
Indonesia,Sumatera Utara,2015,53040,27508224
Indonesia,Yogyakarta,2015,42,22203
Indonesia,Aceh,2016,50074,29716299
Indonesia,Bali,2016,156,96564
Indonesia,Bangka Belitung,2016,58203,37453860
Indonesia,Banten,2016,1970,1165514
Indonesia,Bengkulu,2016,24378,17040945
Indonesia,Gorontalo,2016,10911,7379686
Indonesia,Jakarta Raya,2016,0,0
Indonesia,Jambi,2016,157247,134517562
Indonesia,Jawa Barat,2016,3656,2326849
Indonesia,Jawa Tengah,2016,2285,1487659
Indonesia,Jawa Timur,2016,3188,1961166
Indonesia,Kalimantan Barat,2016,286374,185486999
Indonesia,Kalimantan Selatan,2016,65747,43354957
Indonesia,Kalimantan Tengah,2016,492974,495155592
Indonesia,Kalimantan Timur,2016,313957,201137810
Indonesia,Kalimantan Utara,2016,38489,28443432
Indonesia,Kepulauan Riau,2016,13058,6720812
Indonesia,Lampung,2016,16241,9918759
Indonesia,Maluku,2016,27623,17226121
Indonesia,Maluku Utara,2016,26859,16728752
Indonesia,Nusa Tenggara Barat,2016,4028,2187284
Indonesia,Nusa Tenggara Timur,2016,7367,3435051
Indonesia,Papua,2016,83053,60248910
Indonesia,Papua Barat,2016,26816,20298043
Indonesia,Riau,2016,147085,99615055
Indonesia,Sulawesi Barat,2016,13677,9073942
Indonesia,Sulawesi Selatan,2016,30886,20136317
Indonesia,Sulawesi Tengah,2016,74262,41351849
Indonesia,Sulawesi Tenggara,2016,38445,25375744
Indonesia,Sulawesi Utara,2016,8781,5876159
Indonesia,Sumatera Barat,2016,39172,25274452
Indonesia,Sumatera Selatan,2016,275754,259898327
Indonesia,Sumatera Utara,2016,79283,39254197
Indonesia,Yogyakarta,2016,66,35212
Indonesia,Aceh,2017,45814,27096289
Indonesia,Bali,2017,263,155909
Indonesia,Bangka Belitung,2017,25558,13000753
Indonesia,Banten,2017,3495,2111142
Indonesia,Bengkulu,2017,27233,19057861
Indonesia,Gorontalo,2017,7869,5234779
Indonesia,Jakarta Raya,2017,1,459
Indonesia,Jambi,2017,86203,58927048
Indonesia,Jawa Barat,2017,5646,3403260
Indonesia,Jawa Tengah,2017,3457,2260496
Indonesia,Jawa Timur,2017,4712,2844597
Indonesia,Kalimantan Barat,2017,181331,110996176
Indonesia,Kalimantan Selatan,2017,37465,22791181
Indonesia,Kalimantan Tengah,2017,102894,69685579
Indonesia,Kalimantan Timur,2017,134298,93990243
Indonesia,Kalimantan Utara,2017,33775,25389196
Indonesia,Kepulauan Riau,2017,7993,4147223
Indonesia,Lampung,2017,11762,7209609
Indonesia,Maluku,2017,7334,5205784
Indonesia,Maluku Utara,2017,10589,8173332
Indonesia,Nusa Tenggara Barat,2017,6195,3409763
Indonesia,Nusa Tenggara Timur,2017,10350,4927387
Indonesia,Papua,2017,49616,37163762
Indonesia,Papua Barat,2017,15891,11979540
Indonesia,Riau,2017,123675,71514497
Indonesia,Sulawesi Barat,2017,12565,8372645
Indonesia,Sulawesi Selatan,2017,24050,15644196
Indonesia,Sulawesi Tengah,2017,36947,25273899
Indonesia,Sulawesi Tenggara,2017,27135,18371326
