country,subnational1,threshold,year,tree_cover_loss_ha
Indonesia,Banten,30,2011,2328
Indonesia,Bengkulu,30,2011,24563
Indonesia,Gorontalo,30,2011,2979
Indonesia,Jakarta Raya,30,2011,3
Indonesia,Jambi,30,2011,48905
Indonesia,Jawa Barat,30,2011,5421
Indonesia,Jawa Tengah,30,2011,4500
Indonesia,Jawa Timur,30,2011,5851
Indonesia,Kalimantan Barat,30,2011,262481
Indonesia,Kalimantan Selatan,30,2011,48258
Indonesia,Kalimantan Tengah,30,2011,139335
Indonesia,Kalimantan Timur,30,2011,182064
Indonesia,Kalimantan Utara,30,2011,41756
Indonesia,Kepulauan Riau,30,2011,6945
Indonesia,Lampung,30,2011,16754
Indonesia,Maluku,30,2011,9380
Indonesia,Maluku Utara,30,2011,5746
Indonesia,Nusa Tenggara Barat,30,2011,2326
Indonesia,Nusa Tenggara Timur,30,2011,7816
Indonesia,Papua,30,2011,23156
Indonesia,Papua Barat,30,2011,11549
Indonesia,Riau,30,2011,255307
Indonesia,Sulawesi Barat,30,2011,13856
Indonesia,Sulawesi Selatan,30,2011,14390
Indonesia,Sulawesi Tengah,30,2011,26195
Indonesia,Sulawesi Tenggara,30,2011,22948
Indonesia,Sulawesi Utara,30,2011,3116
Indonesia,Sumatera Barat,30,2011,42570
Indonesia,Sumatera Selatan,30,2011,132285
Indonesia,Sumatera Utara,30,2011,100568
Indonesia,Yogyakarta,30,2011,173
Indonesia,Aceh,30,2012,49396
Indonesia,Bali,30,2012,744
Indonesia,Bangka Belitung,30,2012,39451
Indonesia,Banten,30,2012,3287
Indonesia,Bengkulu,30,2012,27761
Indonesia,Gorontalo,30,2012,3928
Indonesia,Jakarta Raya,30,2012,1
Indonesia,Jambi,30,2012,152387
Indonesia,Jawa Barat,30,2012,3754
Indonesia,Jawa Tengah,30,2012,2449
Indonesia,Jawa Timur,30,2012,8313
Indonesia,Kalimantan Barat,30,2012,312529
Indonesia,Kalimantan Selatan,30,2012,66809
Indonesia,Kalimantan Tengah,30,2012,218882
Indonesia,Kalimantan Timur,30,2012,255656
Indonesia,Kalimantan Utara,30,2012,60396
Indonesia,Kepulauan Riau,30,2012,9374
Indonesia,Lampung,30,2012,30337
Indonesia,Maluku,30,2012,11375
Indonesia,Maluku Utara,30,2012,9010
Indonesia,Nusa Tenggara Barat,30,2012,3117
Indonesia,Nusa Tenggara Timur,30,2012,4650
Indonesia,Papua,30,2012,46692
Indonesia,Papua Barat,30,2012,13560
Indonesia,Riau,30,2012,346655
Indonesia,Sulawesi Barat,30,2012,13555
Indonesia,Sulawesi Selatan,30,2012,16130
Indonesia,Sulawesi Tengah,30,2012,37172
Indonesia,Sulawesi Tenggara,30,2012,23041
Indonesia,Sulawesi Utara,30,2012,2670
Indonesia,Sumatera Barat,30,2012,36511
Indonesia,Sumatera Selatan,30,2012,361298
Indonesia,Sumatera Utara,30,2012,89313
Indonesia,Yogyakarta,30,2012,55
Indonesia,Aceh,30,2013,41391
Indonesia,Bali,30,2013,396
Indonesia,Bangka Belitung,30,2013,17575
Indonesia,Banten,30,2013,1830
Indonesia,Bengkulu,30,2013,14153
Indonesia,Gorontalo,30,2013,5938
Indonesia,Jakarta Raya,30,2013,0
Indonesia,Jambi,30,2013,66706
Indonesia,Jawa Barat,30,2013,2566
Indonesia,Jawa Tengah,30,2013,1180
Indonesia,Jawa Timur,30,2013,2753
Indonesia,Kalimantan Barat,30,2013,199515
Indonesia,Kalimantan Selatan,30,2013,35959
Indonesia,Kalimantan Tengah,30,2013,103285
Indonesia,Kalimantan Timur,30,2013,147487
Indonesia,Kalimantan Utara,30,2013,31842
Indonesia,Kepulauan Riau,30,2013,4762
Indonesia,Lampung,30,2013,5149
Indonesia,Maluku,30,2013,4669
Indonesia,Maluku Utara,30,2013,6780
Indonesia,Nusa Tenggara Barat,30,2013,1540
Indonesia,Nusa Tenggara Timur,30,2013,2105
Indonesia,Papua,30,2013,38012
Indonesia,Papua Barat,30,2013,7905
Indonesia,Riau,30,2013,156344
Indonesia,Sulawesi Barat,30,2013,8073
Indonesia,Sulawesi Selatan,30,2013,9008
Indonesia,Sulawesi Tengah,30,2013,28515
Indonesia,Sulawesi Tenggara,30,2013,15484
Indonesia,Sulawesi Utara,30,2013,1716
Indonesia,Sumatera Barat,30,2013,22433
Indonesia,Sumatera Selatan,30,2013,100948
